#PATH-POINTS-START red top
-160.02,43.18,120,90
-157.48,43.18,120
-154.94,43.18,120
-152.4,43.18,120
-149.86,43.18,120
-147.32,43.18,120
-144.78,43.18,120
-142.24,43.18,120
-139.7,43.18,120
-137.16,43.18,120
-134.62,43.18,120
-132.08,43.18,120
-129.54,43.18,120
-127,43.18,120
-124.46,43.18,120
-121.92,43.18,120
-119.38,43.18,120
-116.84,43.18,120
-114.3,43.18,120
-111.76,43.18,120
-109.22,43.18,120
-106.68,43.18,120
-104.14,43.18,120
-101.6,43.18,120
-99.06,43.18,120
-96.52,43.18,120
-93.98,43.18,120
-91.44,43.18,120
-88.9,43.18,120
-86.36,43.18,120
-83.82,43.18,120
-81.28,43.18,120
-78.74,43.18,120
-76.2,43.18,120
-73.66,43.18,120
-71.12,43.18,120
-68.58,43.18,120
-66.04,43.18,120
-63.5,43.18,120
-60.96,43.18,120
-58.42,43.18,120
-55.88,43.18,120
-53.34,43.18,120
-50.8,43.18,120
-48.26,43.18,120
-45.72,43.18,120
-43.18,43.18,120
-40.64,43.18,120
-38.1,43.18,120
-35.56,43.18,120
-33.02,43.18,120
-30.48,43.18,120
-27.94,43.18,120
-25.4,43.18,120
-22.86,43.18,120
-20.32,43.18,120
-17.78,43.18,120
-15.24,43.18,120
-12.7,43.18,120
-10.16,43.18,120
-7.62,43.18,120
-5.08,43.18,120
-2.54,43.18,120
0,43.18,120,0
0,45.72,120
0,48.26,120
0,50.8,120
0,53.34,120
0,55.88,120
0,58.42,120
0,60.96,120
0,63.5,120
0,66.04,120
0,68.58,120
0,71.12,120
0,73.66,120
0,76.2,120,0
0,73.66,120
0,71.12,120
0,68.58,120
0,66.04,120
0,63.5,120
0,60.96,120
0,58.42,120
0,55.88,120,0
-2.22,57.114,120
-4.441,58.347,120
-6.661,59.581,120
-8.881,60.814,120
-11.102,62.048,120
-13.322,63.281,120
-15.543,64.515,120
-17.763,65.748,120
-19.983,66.982,120
-22.204,68.215,120
-24.424,69.449,120
-26.644,70.682,120
-28.865,71.916,120
-31.085,73.149,120
-33.305,74.383,120
-35.526,75.617,120
-37.746,76.85,120
-39.966,78.084,120
-42.187,79.317,120
-44.407,80.551,120
-46.628,81.784,120
-48.848,83.018,120
-51.068,84.251,120
-53.289,85.485,120
-55.509,86.718,120
-57.729,87.952,120
-59.95,89.185,120
-62.17,90.419,120
-64.39,91.652,120
-66.611,92.886,120
